sample	group	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	supplementary_file.1	data_row_count	relation	relation.1
GSM279752	Control	GSM279752	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279752/suppl/GSM279752.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279752/suppl/GSM279752.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279753	Control	GSM279753	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279753/suppl/GSM279753.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279753/suppl/GSM279753.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279754	Control	GSM279754	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279754/suppl/GSM279754.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279754/suppl/GSM279754.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279755	Control	GSM279755	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	PBMC	Homo sapiens	PBMC	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279755/suppl/GSM279755.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279755/suppl/GSM279755.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279756	Control	GSM279756	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	PBMC	Homo sapiens	PBMC	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279756/suppl/GSM279756.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279756/suppl/GSM279756.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279757	Control	GSM279757	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	PBMC	Homo sapiens	PBMC	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279757/suppl/GSM279757.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279757/suppl/GSM279757.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279758	Control	GSM279758	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	PBMC	Homo sapiens	PBMC	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279758/suppl/GSM279758.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279758/suppl/GSM279758.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279759	Control	GSM279759	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	PBMC	Homo sapiens	PBMC	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279759/suppl/GSM279759.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279759/suppl/GSM279759.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279760	Control	GSM279760	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	PBMC	Homo sapiens	PBMC	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279760/suppl/GSM279760.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279760/suppl/GSM279760.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279761	Control	GSM279761	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	PBMC	Homo sapiens	PBMC	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279761/suppl/GSM279761.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279761/suppl/GSM279761.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279762	Control	GSM279762	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	PBMC	Homo sapiens	PBMC	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279762/suppl/GSM279762.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279762/suppl/GSM279762.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279763	Control	GSM279763	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	PBMC	Homo sapiens	PBMC	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279763/suppl/GSM279763.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279763/suppl/GSM279763.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279764	Control	GSM279764	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	PBMC	Homo sapiens	PBMC	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279764/suppl/GSM279764.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279764/suppl/GSM279764.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279765	Control	GSM279765	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	PBMC	Homo sapiens	PBMC	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279765/suppl/GSM279765.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279765/suppl/GSM279765.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279766	Control	GSM279766	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	PBMC	Homo sapiens	PBMC	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279766/suppl/GSM279766.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279766/suppl/GSM279766.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279767	Control	GSM279767	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	PBMC	Homo sapiens	PBMC	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279767/suppl/GSM279767.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279767/suppl/GSM279767.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279768	Control	GSM279768	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	PBMC	Homo sapiens	PBMC	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279768/suppl/GSM279768.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279768/suppl/GSM279768.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279769	Control	GSM279769	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	PBMC	Homo sapiens	PBMC	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279769/suppl/GSM279769.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279769/suppl/GSM279769.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279771	JDM	GSM279771	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	Neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279771/suppl/GSM279771.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279771/suppl/GSM279771.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279772	JDM	GSM279772	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	Neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279772/suppl/GSM279772.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279772/suppl/GSM279772.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279773	JDM	GSM279773	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279773/suppl/GSM279773.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279773/suppl/GSM279773.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279774	JDM	GSM279774	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279774/suppl/GSM279774.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279774/suppl/GSM279774.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279775	JDM	GSM279775	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279775/suppl/GSM279775.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279775/suppl/GSM279775.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279776	JDM	GSM279776	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279776/suppl/GSM279776.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279776/suppl/GSM279776.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279777	JDM	GSM279777	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279777/suppl/GSM279777.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279777/suppl/GSM279777.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279778	JDM	GSM279778	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279778/suppl/GSM279778.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279778/suppl/GSM279778.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279779	JDM	GSM279779	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279779/suppl/GSM279779.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279779/suppl/GSM279779.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279780	JDM	GSM279780	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279780/suppl/GSM279780.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279780/suppl/GSM279780.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279781	JDM	GSM279781	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279781/suppl/GSM279781.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279781/suppl/GSM279781.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279782	JDM	GSM279782	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279782/suppl/GSM279782.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279782/suppl/GSM279782.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279783	JDM	GSM279783	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279783/suppl/GSM279783.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279783/suppl/GSM279783.CHP.gz	54675	Reanalyzed by: GSE119087	
